tom | 2020-11-19 | 00:00:05.717 | 1 | Paris
tom1 | 2020-11-19 | 00:00:06.717 | 1 | Paris
tom2 | 2020-11-19 | 00:00:07.717 | 1 | Paris
tom3 | 2020-11-19 | 00:00:08.717 | 2 | Paris
tom4 | 2020-11-19 | 00:00:09.717 | 1 | Paris
tom5 | 2020-11-19 | 00:00:15.717 | 1 | Paris
tom6 | 2020-11-19 | 00:00:25.717 | 3 | Paris
tom7 | 2020-11-19 | 00:00:35.717 | 1 | Paris
tom8 | 2020-11-19 | 00:00:45.717 | 1 | Paris
tom9 | 2020-11-19 | 00:00:55.717 | 4 | Paris
tom10 | 2020-11-19 | 00:00:56.717 | 1 | Paris
tom | 2020-11-19 | 00:00:57.717 | 1 | Paris
tom | 2020-11-19 | 00:00:58.717 | 5 | Paris
tom | 2020-11-19 | 00:00:58.817 | 1 | Paris
tom | 2020-11-19 | 00:00:58.917 | 1 | Paris
tom | 2020-11-19 | 00:00:05.717 | 1 | Paris
